,avg of sum,avg of ana,avg of cata
988,2098.353653,186.5980122,188.0286039
989,2098.265688,179.983023,180.6154251
990,2098.288343,173.427492,173.2714441
991,2097.909239,200,203.047704
992,2097.62126,193.27037,195.5020314
993,2097.430493,186.5970601,188.0214438
994,2097.343369,179.981602,180.6079488
995,2097.366879,173.4256072,173.2636578
996,2096.989812,200,203.0312091
997,2096.703919,193.2698942,195.4852958
998,2096.515289,186.5961139,188.004476
999,2096.430357,179.9801908,180.5907578
1000,2096.456117,173.423737,173.2462531
